n_drones,n_chargers,seed,month,total_packages,late_count,on_time_rate,mean_delivery_t,p95_delivery_t,p50_delivery_t,mean_wait_t,p95_wait_t,drone_util_fly,drone_util_charge,drone_util_wait,season,wind_mult
3,2,1,3,73,0,1.0,31.444153280917554,93.9068907975438,19.981363707030937,25.224327990705174,87.61287552331152,0.336331293470743,0.3632965059210547,0.016628396798509196,pre_rains,1.15
3,2,2,3,91,20,0.7802197802197802,76.52678420652941,159.97912484134878,72.34304129652992,70.3517142801001,154.0789687840185,0.41333903928066285,0.42748958177442403,0.025108486817392715,pre_rains,1.15
3,2,3,3,94,25,0.7340425531914894,77.04718274516776,163.58641333022337,74.61821787809009,70.86002862170643,158.2038384678856,0.4292801716241477,0.4443099809149778,0.010370288360773543,pre_rains,1.15
3,2,4,3,80,20,0.75,76.7629395949144,176.28994990248276,60.14060474834142,70.4025457860338,170.29005796176492,0.37403242829481087,0.3988963750588029,0.03511642793294723,pre_rains,1.15
3,2,5,3,84,13,0.8452380952380952,64.2920047682798,175.9596129812368,49.84708027223061,58.00619391921124,169.3106807276791,0.3882910834523822,0.3996917496736146,0.011987641558317571,pre_rains,1.15
3,2,6,3,89,0,1.0,54.57882715119136,92.01529326948037,60.8835976721208,48.50695217097897,87.33649788865914,0.39875338203564886,0.4461032326357446,0.02790335757652517,pre_rains,1.15
3,2,7,3,68,0,1.0,8.88989672088931,27.194344974301888,6.3108402775272125,3.0524807614505374,22.281787223210557,0.2940328038828422,0.31120414817304504,0.007178660819500804,pre_rains,1.15
3,2,8,3,67,0,1.0,37.55226841566458,88.85133844662452,35.12304425347702,31.641974485213648,83.04948052785451,0.2933256987705276,0.33730534650354366,0.014706086786613292,pre_rains,1.15
3,2,9,3,77,0,1.0,19.139995819945565,42.71375439841725,12.246505260422566,12.792014867890181,36.86769894967181,0.3590169587851873,0.37723971798301825,0.022036680741986815,pre_rains,1.15
3,2,10,3,86,0,1.0,30.566982153654255,62.653955637708776,25.051146607348542,24.88040720902483,58.25595522875339,0.3605051742899021,0.39773978670617294,0.014324580257409496,pre_rains,1.15
3,2,11,3,75,0,1.0,39.17951214426732,90.54106715924178,34.38908942484133,33.13680485055328,86.60931177551777,0.33570596076189085,0.3706686636357978,0.02094616086829736,pre_rains,1.15
3,2,12,3,81,21,0.7407407407407407,75.06386337822836,176.4422171534285,53.78269398194118,68.78026357565463,171.96702483293166,0.37701598815442355,0.4083401646306913,0.028964775468203356,pre_rains,1.15
3,2,13,3,85,0,1.0,36.44098491689648,75.17990026235775,32.1801696277189,30.530511136424945,69.31408346946644,0.37214094173339324,0.41060239260214565,0.028910226592639896,pre_rains,1.15
3,2,14,3,83,20,0.7590361445783133,96.1760982256377,175.952793354759,93.8374587014024,89.85444470792575,169.5168740921362,0.3868886579408713,0.42430540094001984,0.02823664356714246,pre_rains,1.15
3,2,15,3,92,12,0.8695652173913043,65.5551198521348,137.65580905820096,63.25034536007911,59.62573911354793,133.11516519071446,0.40001863506353186,0.4314198830040507,0.03119027609275225,pre_rains,1.15
3,2,16,3,89,0,1.0,47.587045428789196,104.51915187032529,48.614730516977545,41.44998961945818,98.8987915356031,0.4045910866892311,0.45637580690148405,0.04263994316141237,pre_rains,1.15
3,2,17,3,88,2,0.9772727272727273,56.206238319334446,112.01710139542747,60.72437609765174,49.999552416803816,105.50260203667159,0.4021821111898936,0.4283325352177822,0.020416489845354803,pre_rains,1.15
3,2,18,3,79,0,1.0,38.76931028461186,72.82296100586775,42.087576121675966,32.359736916204184,66.44016999014028,0.37507873785496787,0.4004311922635295,0.020232433463380124,pre_rains,1.15
3,2,19,3,83,1,0.9879518072289156,47.5101708055577,99.19568045068698,44.26436959420232,41.47823219723364,94.09793916544577,0.3708525218451088,0.3973307075883223,0.021082456693859577,pre_rains,1.15
3,2,20,3,83,8,0.9036144578313253,62.05577122984691,126.94704707692283,52.864227779375085,55.85561062802483,118.90175601607947,0.3811950592231355,0.40773554553436997,0.025498527988837012,pre_rains,1.15
3,2,21,3,79,0,1.0,37.002412914172304,73.02246902367314,34.03447931259427,30.59622652349773,65.35588159603485,0.3748805369357714,0.4071419571130821,0.010896538329167905,pre_rains,1.15
3,2,22,3,85,0,1.0,36.580626816694746,92.79377685942812,22.414577174549578,30.52412305732673,87.10243934304201,0.3813354218861346,0.3980743972118304,0.022845834615762887,pre_rains,1.15
3,2,23,3,77,0,1.0,29.310575089177178,63.586210421793645,26.377283999007886,23.50533752269036,59.475904807517416,0.32899505040268473,0.3585008601194059,0.023619572148547832,pre_rains,1.15
3,2,24,3,77,0,1.0,29.257654475459617,64.54608704739178,26.3514686783017,23.358360946486027,58.638554568611106,0.3364782235044202,0.3629997054518531,0.02100151677719702,pre_rains,1.15
3,2,25,3,81,0,1.0,40.11439275420286,73.38475575571147,44.78218082894455,33.944957501356114,67.83949350627915,0.36854653400431026,0.39094792931366723,0.014808625408490414,pre_rains,1.15
3,2,26,3,63,0,1.0,22.205061359661713,49.32960607981019,21.54183404033921,16.252369958653127,44.18570759234907,0.2749953887456244,0.30413524717207757,0.020655352395657453,pre_rains,1.15
3,2,27,3,82,0,1.0,49.06656500197041,96.97203490244395,40.43018193953928,42.80527991256332,90.38508241865594,0.37810041318456955,0.4098022841209833,0.023604678472171497,pre_rains,1.15
3,2,28,3,79,0,1.0,32.49534979395219,70.89212611225493,30.501017637026052,26.367867340714692,63.25146202744549,0.3585711954116757,0.39776827167269335,0.01428091915257252,pre_rains,1.15
3,2,29,3,85,0,1.0,38.645685729877165,99.18582699329247,26.500178964922156,32.58931875311519,90.6804760319506,0.37847117471974073,0.40390241199370025,0.01365443836032919,pre_rains,1.15
3,2,30,3,87,0,1.0,45.206749320099014,89.6729682173069,48.97980074183789,39.38540840162736,85.08614754657908,0.3730084937161286,0.42314115396513813,0.03082969379885844,pre_rains,1.15
3,2,1,5,76,0,1.0,30.38906649456748,81.72922201953722,20.9039134073696,24.25251558519916,75.14806642416292,0.34546508823110594,0.38878894651531365,0.018866782344000577,main_rains,1.25
3,2,2,5,85,0,1.0,22.330432784481218,45.986683448156214,19.91003887688163,16.3787744429139,41.18932297955154,0.37287481369179215,0.4272184270175657,0.025061674011095495,main_rains,1.25
3,2,3,5,83,0,1.0,27.92400904735982,66.38057208007021,26.44617527190735,21.95271659438813,58.59433605646179,0.3643494556591467,0.42477728835726036,0.02632146394968772,main_rains,1.25
3,2,4,5,76,6,0.9210526315789473,48.78837339870701,123.26351613797021,27.98518617714683,42.564275472293644,117.53399725767264,0.35039366104253006,0.4109358780576395,0.026023596150762503,main_rains,1.25
3,2,5,5,89,13,0.8539325842696629,49.757621554899046,141.13594564830413,33.89976664661481,43.70123697056693,134.63408907454294,0.3949251490215452,0.4469281648286449,0.018156976262259462,main_rains,1.25
3,2,6,5,83,0,1.0,43.90244084636787,109.32619963255766,35.503316272266886,37.83301278912958,102.4442050768132,0.37315742870428015,0.45258140955101345,0.028552955393480687,main_rains,1.25
3,2,7,5,81,0,1.0,41.28365953109314,97.68917321902791,40.0002567715444,34.903873370972676,93.91496279163448,0.37958618883376,0.4438618595398262,0.02733380635428811,main_rains,1.25
3,2,8,5,72,0,1.0,38.02047012246301,108.35679503395352,23.35462127732916,31.99522301135785,101.38104954352926,0.32134651259227515,0.3762504891190693,0.026969065424107305,main_rains,1.25
3,2,9,5,83,0,1.0,29.0224769364519,72.59316140595449,24.860961261186276,22.727253312653534,67.59346662406716,0.3870396746483441,0.41648008044998774,0.021795541600977304,main_rains,1.25
3,2,10,5,92,0,1.0,35.63829429048932,80.51232180858989,30.129191792320768,29.931533012348595,74.88178475487318,0.38654390112593523,0.44823051497218214,0.017558137341195414,main_rains,1.25
3,2,11,5,77,0,1.0,20.630177282471767,44.347802129712264,19.909525717017914,14.689662913899012,38.845108802556396,0.3365194418790153,0.3815222188851326,0.014457772713690415,main_rains,1.25
3,2,12,5,81,19,0.7654320987654321,73.80740416563248,202.63827154271564,43.90462586277323,67.70110697025075,196.2916104636289,0.36637783172290334,0.4133363253663222,0.03837081619969901,main_rains,1.25
3,2,13,5,78,3,0.9615384615384616,51.057913810227056,118.28840275842069,42.523999468206426,44.76422835504817,111.55169783540626,0.36363515963255794,0.4034717416154188,0.01885715705818551,main_rains,1.25
3,2,14,5,82,7,0.9146341463414634,79.48325710676986,132.2537636355794,84.47922468856996,73.35541797740666,124.87375618428526,0.3722094878576169,0.4235521644387401,0.039408261641707465,main_rains,1.25
3,2,15,5,83,0,1.0,33.381433820238016,67.25490786969182,32.81236404387812,27.375658966276536,61.957854477187,0.36924393546577977,0.44677317400424454,0.03369846206156149,main_rains,1.25
3,2,16,5,95,12,0.8736842105263158,63.547804227556156,140.87979595146743,58.39726795003003,57.619063162798675,132.62108851269116,0.4172077045570069,0.49545257075658744,0.03383660364255499,main_rains,1.25
3,2,17,5,82,0,1.0,32.59690218740582,87.9964264356268,28.035239806548418,26.616974242301865,81.42141182276106,0.36322525296186947,0.4415270877134393,0.02489702989985794,main_rains,1.25
3,2,18,5,84,13,0.8452380952380952,69.26829918773252,143.3179686354063,63.77836813000424,63.11321200649949,137.49510621635963,0.3798464367399655,0.4256407300821753,0.027265984645891025,main_rains,1.25
3,2,19,5,73,0,1.0,35.00165312190172,76.03202535389502,36.80086818700033,28.93186405866859,70.17384085686088,0.32821822341927315,0.3899481893382443,0.030769169086797478,main_rains,1.25
3,2,20,5,83,0,1.0,35.05937682180225,79.33250524835948,28.215670408176578,29.044727576319048,74.44980287180822,0.36777885857904064,0.39470027721754986,0.016134956170999547,main_rains,1.25
3,2,21,5,85,26,0.6941176470588235,97.57781330874286,184.45067975921424,97.08900322332784,91.28519322889153,178.23311326485063,0.3912484737236123,0.4432095567013921,0.023255360727177623,main_rains,1.25
3,2,22,5,82,15,0.8170731707317073,58.07590456465243,145.92809535448228,38.18995200489505,51.973287658051895,141.2782561023697,0.3706774713638843,0.4089612648517035,0.03762608323679646,main_rains,1.25
3,2,23,5,81,0,1.0,33.111176821652535,97.07243636977182,23.457816966675352,27.242571618606217,89.6202412821566,0.35211631218277867,0.4354094899152343,0.017376734422192106,main_rains,1.25
3,2,24,5,76,5,0.9342105263157895,53.645240781630434,120.57753774898762,37.960205727725565,47.61780680629302,113.75443024293057,0.3378392066714299,0.384789307058792,0.029500204772783846,main_rains,1.25
3,2,25,5,68,0,1.0,29.239183176493974,65.74341315588717,29.104458070227963,23.210992184402258,58.980830781549535,0.30364221293498966,0.3580283273669573,0.009839086146192371,main_rains,1.25
3,2,26,5,70,12,0.8285714285714286,56.868018620404754,133.57643635695254,43.84556277163671,50.79918658867852,126.91610278563967,0.3117358720557888,0.35911344889229263,0.027553578503645072,main_rains,1.25
3,2,27,5,79,0,1.0,53.128398496047154,87.84298899610076,56.31981614834365,47.107905079958826,83.69798314817443,0.3523103554599831,0.4188809020417803,0.039158259863989756,main_rains,1.25
3,2,28,5,69,0,1.0,15.57008052941137,40.56364018269066,8.801185934732104,9.467225455519454,34.646813706705125,0.3119237037766981,0.36771529434711875,0.022131403575530905,main_rains,1.25
3,2,29,5,89,0,1.0,48.04056541914162,101.45547304578069,46.8823732416854,41.9842559841768,96.1853958376565,0.39641217226574166,0.44292755283508634,0.01980875576112756,main_rains,1.25
3,2,30,5,79,1,0.9873417721518988,40.889474160039775,102.67244103272668,33.57418607494111,34.470525123755,95.09544224873716,0.373255443712177,0.4371559292961109,0.02544518041470626,main_rains,1.25
3,2,1,7,76,0,1.0,30.38906649456748,81.72922201953722,20.9039134073696,24.25251558519916,75.14806642416292,0.34546508823110594,0.38878894651531365,0.018866782344000577,mid_dry,1.25
3,2,2,7,85,0,1.0,22.330432784481218,45.986683448156214,19.91003887688163,16.3787744429139,41.18932297955154,0.37287481369179215,0.4272184270175657,0.025061674011095495,mid_dry,1.25
3,2,3,7,83,0,1.0,27.92400904735982,66.38057208007021,26.44617527190735,21.95271659438813,58.59433605646179,0.3643494556591467,0.42477728835726036,0.02632146394968772,mid_dry,1.25
3,2,4,7,76,6,0.9210526315789473,48.78837339870701,123.26351613797021,27.98518617714683,42.564275472293644,117.53399725767264,0.35039366104253006,0.4109358780576395,0.026023596150762503,mid_dry,1.25
3,2,5,7,89,13,0.8539325842696629,49.757621554899046,141.13594564830413,33.89976664661481,43.70123697056693,134.63408907454294,0.3949251490215452,0.4469281648286449,0.018156976262259462,mid_dry,1.25
3,2,6,7,83,0,1.0,43.90244084636787,109.32619963255766,35.503316272266886,37.83301278912958,102.4442050768132,0.37315742870428015,0.45258140955101345,0.028552955393480687,mid_dry,1.25
3,2,7,7,81,0,1.0,41.28365953109314,97.68917321902791,40.0002567715444,34.903873370972676,93.91496279163448,0.37958618883376,0.4438618595398262,0.02733380635428811,mid_dry,1.25
3,2,8,7,72,0,1.0,38.02047012246301,108.35679503395352,23.35462127732916,31.99522301135785,101.38104954352926,0.32134651259227515,0.3762504891190693,0.026969065424107305,mid_dry,1.25
3,2,9,7,83,0,1.0,29.0224769364519,72.59316140595449,24.860961261186276,22.727253312653534,67.59346662406716,0.3870396746483441,0.41648008044998774,0.021795541600977304,mid_dry,1.25
3,2,10,7,92,0,1.0,35.63829429048932,80.51232180858989,30.129191792320768,29.931533012348595,74.88178475487318,0.38654390112593523,0.44823051497218214,0.017558137341195414,mid_dry,1.25
3,2,11,7,77,0,1.0,20.630177282471767,44.347802129712264,19.909525717017914,14.689662913899012,38.845108802556396,0.3365194418790153,0.3815222188851326,0.014457772713690415,mid_dry,1.25
3,2,12,7,81,19,0.7654320987654321,73.80740416563248,202.63827154271564,43.90462586277323,67.70110697025075,196.2916104636289,0.36637783172290334,0.4133363253663222,0.03837081619969901,mid_dry,1.25
3,2,13,7,78,3,0.9615384615384616,51.057913810227056,118.28840275842069,42.523999468206426,44.76422835504817,111.55169783540626,0.36363515963255794,0.4034717416154188,0.01885715705818551,mid_dry,1.25
3,2,14,7,82,7,0.9146341463414634,79.48325710676986,132.2537636355794,84.47922468856996,73.35541797740666,124.87375618428526,0.3722094878576169,0.4235521644387401,0.039408261641707465,mid_dry,1.25
3,2,15,7,83,0,1.0,33.381433820238016,67.25490786969182,32.81236404387812,27.375658966276536,61.957854477187,0.36924393546577977,0.44677317400424454,0.03369846206156149,mid_dry,1.25
3,2,16,7,95,12,0.8736842105263158,63.547804227556156,140.87979595146743,58.39726795003003,57.619063162798675,132.62108851269116,0.4172077045570069,0.49545257075658744,0.03383660364255499,mid_dry,1.25
3,2,17,7,82,0,1.0,32.59690218740582,87.9964264356268,28.035239806548418,26.616974242301865,81.42141182276106,0.36322525296186947,0.4415270877134393,0.02489702989985794,mid_dry,1.25
3,2,18,7,84,13,0.8452380952380952,69.26829918773252,143.3179686354063,63.77836813000424,63.11321200649949,137.49510621635963,0.3798464367399655,0.4256407300821753,0.027265984645891025,mid_dry,1.25
3,2,19,7,73,0,1.0,35.00165312190172,76.03202535389502,36.80086818700033,28.93186405866859,70.17384085686088,0.32821822341927315,0.3899481893382443,0.030769169086797478,mid_dry,1.25
3,2,20,7,83,0,1.0,35.05937682180225,79.33250524835948,28.215670408176578,29.044727576319048,74.44980287180822,0.36777885857904064,0.39470027721754986,0.016134956170999547,mid_dry,1.25
3,2,21,7,85,26,0.6941176470588235,97.57781330874286,184.45067975921424,97.08900322332784,91.28519322889153,178.23311326485063,0.3912484737236123,0.4432095567013921,0.023255360727177623,mid_dry,1.25
3,2,22,7,82,15,0.8170731707317073,58.07590456465243,145.92809535448228,38.18995200489505,51.973287658051895,141.2782561023697,0.3706774713638843,0.4089612648517035,0.03762608323679646,mid_dry,1.25
3,2,23,7,81,0,1.0,33.111176821652535,97.07243636977182,23.457816966675352,27.242571618606217,89.6202412821566,0.35211631218277867,0.4354094899152343,0.017376734422192106,mid_dry,1.25
3,2,24,7,76,5,0.9342105263157895,53.645240781630434,120.57753774898762,37.960205727725565,47.61780680629302,113.75443024293057,0.3378392066714299,0.384789307058792,0.029500204772783846,mid_dry,1.25
3,2,25,7,68,0,1.0,29.239183176493974,65.74341315588717,29.104458070227963,23.210992184402258,58.980830781549535,0.30364221293498966,0.3580283273669573,0.009839086146192371,mid_dry,1.25
3,2,26,7,70,12,0.8285714285714286,56.868018620404754,133.57643635695254,43.84556277163671,50.79918658867852,126.91610278563967,0.3117358720557888,0.35911344889229263,0.027553578503645072,mid_dry,1.25
3,2,27,7,79,0,1.0,53.128398496047154,87.84298899610076,56.31981614834365,47.107905079958826,83.69798314817443,0.3523103554599831,0.4188809020417803,0.039158259863989756,mid_dry,1.25
3,2,28,7,69,0,1.0,15.57008052941137,40.56364018269066,8.801185934732104,9.467225455519454,34.646813706705125,0.3119237037766981,0.36771529434711875,0.022131403575530905,mid_dry,1.25
3,2,29,7,89,0,1.0,48.04056541914162,101.45547304578069,46.8823732416854,41.9842559841768,96.1853958376565,0.39641217226574166,0.44292755283508634,0.01980875576112756,mid_dry,1.25
3,2,30,7,79,1,0.9873417721518988,40.889474160039775,102.67244103272668,33.57418607494111,34.470525123755,95.09544224873716,0.373255443712177,0.4371559292961109,0.02544518041470626,mid_dry,1.25
3,2,1,10,74,0,1.0,24.195377686334023,63.41468420032427,17.402561484280966,17.98415776050982,58.84516586149492,0.33718136913322755,0.3587796564367319,0.02088747453416467,post_rains,1.1
3,2,2,10,89,23,0.7415730337078652,82.26852026629942,199.34816524626757,72.20380381194047,76.02460170424797,193.14147800500422,0.41163611260931793,0.41807393117115227,0.03408804498256653,post_rains,1.1
3,2,3,10,90,15,0.8333333333333334,53.24487324859357,158.94668471676422,33.94502323122177,46.95499512077111,153.46975601066825,0.41524277606347604,0.42231135204965264,0.02525558458199115,post_rains,1.1
3,2,4,10,78,0,1.0,36.84205285015768,97.90738633486639,22.61681834886042,30.823570326599764,89.38808827785823,0.34773454580556784,0.3732200865732312,0.015163880893852108,post_rains,1.1
3,2,5,10,88,15,0.8295454545454546,52.35535934659151,155.02672043561418,27.71396219488932,46.12392254493066,147.9883341838732,0.40303728584456155,0.4270783153296118,0.013998394019313637,post_rains,1.1
3,2,6,10,87,0,1.0,21.804100180313725,56.25589484439795,19.006258945713853,15.779720713227158,51.22701383195578,0.3882377878789115,0.40152393506134026,0.014726969735825666,post_rains,1.1
3,2,7,10,84,1,0.9880952380952381,40.51933489137254,109.89160539787262,28.884989496438678,34.24649005622737,102.12142992564286,0.386562271091856,0.3901281054726435,0.01903882537953468,post_rains,1.1
3,2,8,10,73,0,1.0,38.69562610796617,85.13905061442861,36.93040668176468,32.92242175518337,80.08704042116243,0.3121806798171441,0.3394878577238381,0.020074297301024106,post_rains,1.1
3,2,9,10,74,0,1.0,14.268541518966243,32.59712633196357,9.561207407239579,8.147916275885779,27.3114985482284,0.33550093925033664,0.35052526317576826,0.021396441643096644,post_rains,1.1
3,2,10,10,99,0,1.0,40.30021881451778,94.36009266815562,31.44256515124789,34.64032141178733,89.87389682847733,0.4124938749757013,0.44882518374177,0.022427898803669962,post_rains,1.1
3,2,11,10,92,0,1.0,37.32894352344982,75.05854339714043,34.21702490773511,31.48746358419932,69.05244255135452,0.3968177489933792,0.4075666141061118,0.020898364608483527,post_rains,1.1
3,2,12,10,77,0,1.0,37.33286820607936,94.60475064111085,30.249916319971476,31.605069426642654,88.21066621660573,0.32669667112342654,0.32802338514279433,0.0243184861748096,post_rains,1.1
